datetime,ip_address,NIK,applicant_name,age,gender,marital_status,number_of_dependents,occupation,job_position,job_specific_code,job_specific,education_level,user_income,collateral_value_of_on_site_assets,average_loans_taken_in_the_same_location,last_credit_history,other_credit_history1,other_credit_history2,other_credit_history3,worst_credit_performance,hardware,operating_system_type,browser,home_address,domicile_address,road_type,building_type,building_owner,building_location,gmaps_coordinates,gmaps_location_name,gmpas_location_description,gmaps_category,gmaps_address,gmaps_neighborhood,gmaps_street,gmaps_city,gmaps_postal_code,gmaps_state,total_population,average_income_of_the_population_in_the_area,education_of_the_population_in_the_area,unemployment_rate_in_the_area,crime_rate_in_the_area,poverty_rate_in_the_area,length_of_stay_at_domicile_address,address_stability,domicile_address_and_location_suitability,credit_score,credit_score_category
2023-03-29 10:02:16.816270,192.168.157.84,7171060911900009,"Jail Mulyani, S.Gz",33,L,Kawin,2,Livestock farmer,Direktur,3233,Jasa Pasca Panen Budidaya Ikan Laut,S3,> Rp 20.000.000,136000000,6 - 8 Pinjaman,Lancar,Dalam Perhatian Khusus,Diragukan,Macet,Macet,Smartphone,Android,Firefox,"Jl. Antapani Lama No. 396
Malang, KI 24712","Jl. Antapani Lama No. 396
Malang, KI 24712",Jalan Kecil,Rumah Susun,Perorangan Orang Lain,Kawasan komersial,"-7.73379, 113.69785",Apartemen ,Eius officiis autem recusandae quos.,Duplex,"Besuki, Situbondo, Jawa Timur, Indonesia",,,,,Jawa Timur,Sedang,Tinggi,Sedang,Sedang,Tinggi,Tinggi,62,Stabil,Tidak cocok,70,Very Good
2023-03-29 10:02:18.591985,172.22.202.113,6301017008680000,Melinda Hardiansyah,55,P,Duda,4,Notary,Manager,86103,Aktivitas Rumah Sakit Swasta,D4,Rp 5.000.000 - Rp 10.000.000,267000000,> 8 Pinjaman,Lancar,Macet,Kurang Lancar,Macet,Macet,Smartphone,Chrome OS,Unknown,"Gang Rungkut Industri No. 0
Serang, AC 39931","Jalan Cihampelas No. 06
Padangpanjang, Nusa Tenggara Timur 96651",Jalan Sedang,Kost-kostan,Perusahaan,Kawasan perumahan elite,"-3.5403, 118.9707",Villa ,Temporibus quae consequuntur minima.,Duplex,"Labuang, Majene, Sulawesi Barat, 91412, Indonesia",,,,91412,Sulawesi Barat,Rendah,Sedang,Tinggi,Tinggi,Sangat Rendah,Rendah,89,Stabil,Tidak cocok,70,Very Good
2023-03-29 10:02:20.424225,172.25.188.114,6108070308990009,Chelsea Damanik,24,L,Cerai Hidup,5,Teacher,Staff,10433,Industri Pemisahan/fraksinasi Minyak Mentah Kelapa Sawit Dan Minyak Mentah Inti Kelapa Sawit,SMA/SMK,Rp 5.000.000 - Rp 10.000.000,431000000,6 - 8 Pinjaman,Macet,Diragukan,Lancar,Lancar,Macet,Laptop,Linux,Opera,"Gg. Bangka Raya No. 6
Batu, Kalimantan Tengah 63884","Jl. Sentot Alibasa No. 785
Banda Aceh, Maluku Utara 83526",Jalan Besar,Mess,Perorangan Pribadi,Kawasan perumahan elite,"1.5709993, 127.8087693",Apartemen ,A iusto sint sint totam facere alias.,Gated community,"Jl. Sentot Alibasa No. 785
Banda Aceh, Maluku Utara 83526",,,,,North Maluku,Sangat Rendah,Tinggi,Sedang,Sedang,Sangat Rendah,Rendah,91,Sangat stabil,Tidak cocok,100,Excellent
2023-03-29 10:02:20.906158,10.198.159.93,1572081303580007,Umi Suryatmi,65,L,Cerai Hidup,0,Honorary employee,Staff,52219,Aktivitas Penunjang Angkutan Darat Lainnya,SMA/SMK,< Rp 5.000.000,107000000,3 - 5 Pinjaman,Dalam Perhatian Khusus,Diragukan,Lancar,Diragukan,Diragukan,Laptop,Android,Safari,"Jalan Jayawijaya No. 005
Kendari, Kepulauan Riau 24849","Gang Cihampelas No. 64
Pangkalpinang, Nusa Tenggara Timur 88624",Jalan Besar,Kost-kostan,Perusahaan,Kawasan perumahan elite,"-8.657381899999999, 121.0793705",Villa ,At delectus aperiam mollitia in impedit eaque eaque.,House,"Gang Cihampelas No. 64
Pangkalpinang, Nusa Tenggara Timur 88624",,,,,East Nusa Tenggara,Tinggi,Rendah,Rendah,Tinggi,Sedang,Sedang,41,Tidak stabil,Sangat cocok,60,Good
2023-03-29 10:02:21.339494,172.27.119.236,7202025803720004,Ade Santoso,51,P,Janda,5,Private employee,Direktur,93194,Badan Regulasi Dan Liga Olahraga,D4,Rp 10.000.000 - Rp 15.000.000,280000000,> 8 Pinjaman,Dalam Perhatian Khusus,Lancar,Dalam Perhatian Khusus,Dalam Perhatian Khusus,Dalam Perhatian Khusus,Smartphone,Chrome OS,Edge,"Gg. HOS. Cokroaminoto No. 088
Tidore Kepulauan, Sumatera Utara 84739","Gg. Rungkut Industri No. 889
Medan, Lampung 13226",Jalan Sedang,Mess,Pemerintah,Kawasan industri,"2.1153547, 99.54509739999999",Villa ,Quia repellendus quis cupiditate quaerat.,Retirement home,"Gg. HOS. Cokroaminoto No. 088
Tidore Kepulauan, Sumatera Utara 84739",,,,,North Sumatra,Tinggi,Sedang,Rendah,Tinggi,Sedang,Sedang,54,Tidak stabil,Tidak cocok,40,Fair
2023-03-29 10:02:21.779100,192.168.165.165,9101182503830009,Pranawa Aryani,40,L,Janda,1,Trade/business,Direktur,47865,"Perdagangan Eceran Kaki Lima Dan Los Pasar Barang Dan Perlengkapan Dapur Dari Kayu, Bambu Atau Rotan",S1,Rp 10.000.000 - Rp 15.000.000,84000000,0 - 2 Pinjaman,Kurang Lancar,Diragukan,Kurang Lancar,Kurang Lancar,Diragukan,PC,Windows,Safari,"Gang Soekarno Hatta No. 7
Sibolga, SB 92643","Gang Rumah Sakit No. 634
Bekasi, Sumatera Utara 09658",Jalan Kecil,Apartemen,Lainnya,Kawasan pertanian,"1.7368371, 98.78511209999999",Apartemen ,Debitis autem rerum voluptatem.,Condominium complex,"Gang Soekarno Hatta No. 7
Sibolga, SB 92643",,,Sibolga,,North Sumatra,Sedang,Tinggi,Rendah,Tinggi,Tinggi,Rendah,78,Stabil,Tidak cocok,65,Good
2023-03-29 10:02:22.198700,10.20.23.156,1673074801940008,Cinta Rahmawati,29,P,Duda,1,Mason,Manager,47523,"Perdagangan Eceran Genteng, Batu Bata, Ubin Dan Sejenisnya Dari Tanah Liat, Kapur, Semen Atau Kaca",D3,Rp 15.000.000 - Rp 20.000.000,523000000,3 - 5 Pinjaman,Lancar,Diragukan,Kurang Lancar,Lancar,Diragukan,Tablet,macOS,Edge,"Jalan Sukajadi No. 03
Metro, DKI Jakarta 19474","Gang Cikutra Barat No. 805
Bandung, Bali 30134",Jalan Sedang,Rumah,Perorangan Orang Lain,Kawasan pertanian,"-6.9174639, 107.6191228",Kontrakan ,Rerum dolorum suscipit.,Residential neighbourhood,"Gang Cikutra Barat No. 805
Bandung, Bali 30134",,,Bandung,,West Java,Rendah,Sedang,Rendah,Tinggi,Sedang,Sedang,79,Stabil,Sangat cocok,95,Excellent
2023-03-29 10:02:22.548406,172.17.136.168,1304054206530004,Rendy Siregar,70,P,Janda,2,Paranormal,Supervisor,3117,Penangkapan Coelenterata Di Laut,D3,< Rp 5.000.000,631000000,0 - 2 Pinjaman,Lancar,Kurang Lancar,Diragukan,Kurang Lancar,Diragukan,Smartphone,Windows,Unknown,"Jalan Ahmad Dahlan No. 56
Jambi, JB 97714","Jalan Ahmad Dahlan No. 56
Jambi, JB 97714",Jalan Sedang,Villa,Lainnya,Kawasan wisata,"-7.54972, 110.71639",Rumah Susun ,Ipsum sequi esse delectus repellendus quibusdam quia.,Dormitory,"Kertonatan, Sukoharjo, Jawa Tengah, 57165, Indonesia",,,,57165,Jawa Tengah,Rendah,Tinggi,Rendah,Rendah,Sangat Rendah,Rendah,95,Sangat stabil,Tidak cocok,100,Excellent
2023-03-29 10:02:24.531435,172.16.133.176,6109041709690003,Nova Sihotang,54,L,Duda,1,Driver,Manager,71102,Aktivitas Keinsinyuran Dan Konsultasi Teknis Ybdi,S1,Rp 15.000.000 - Rp 20.000.000,419000000,> 8 Pinjaman,Dalam Perhatian Khusus,Lancar,Lancar,Kurang Lancar,Kurang Lancar,PC,iOS,Firefox,"Jl. Pacuan Kuda No. 468
Kota Administrasi Jakarta Utara, Maluku 28543","Jalan Indragiri No. 3
Tebingtinggi, Kepulauan Bangka Belitung 17138",Jalan Sedang,Rumah Susun,Lainnya,Kawasan perumahan padat penduduk,"-6.155405699999999, 106.8926634",Rumah ,Ex itaque tenetur aperiam corporis iste tempora voluptates.,Residential neighbourhood,"Jl. Pacuan Kuda No. 468
Kota Administrasi Jakarta Utara, Maluku 28543",,,North Jakarta,,Jakarta,Tinggi,Sangat Rendah,Sangat Rendah,Sangat Tinggi,Tinggi,Sangat Tinggi,7,Sangat tidak stabil,Tidak cocok,10,Poor
2023-03-29 10:02:25.746946,192.168.152.16,1305071903870007,Endah Tampubolon,36,L,Cerai Hidup,2,Student,Manager,47211,Perdagangan Eceran Padi Dan Palawija,SMA/SMK,Rp 15.000.000 - Rp 20.000.000,874000000,0 - 2 Pinjaman,Macet,Kurang Lancar,Kurang Lancar,Lancar,Macet,PC,Linux,Onsite,"Gang Suniaraja No. 495
Tegal, Sulawesi Utara 84856","Gang Suniaraja No. 495
Tegal, Sulawesi Utara 84856",Jalan Kecil,Villa,Perorangan Pribadi,Kawasan komersial,"-7.54972, 110.71639",Apartemen ,Magnam qui aspernatur qui ducimus enim placeat.,Residential neighbourhood,"Kertonatan, Sukoharjo, Jawa Tengah, 57165, Indonesia",,,,57165,Jawa Tengah,Tinggi,Sedang,Sedang,Sedang,Tinggi,Tinggi,57,Tidak stabil,Tidak cocok,45,Fair
